,ColUnica
10,True 1 53 unam limpia aulas alumnos rezagados unam limpia aulas alumnos rezagados partir number nuevas reglas ingreso permanencia comenzaron aligerar carga administrativa unam terminan number fósiles casi number años ciudad méxico number septiembre agobiada décadas existencia cerca medio millón alumnos eternizaban aulas cuales number mil mantenían viva actividad administrativa hace number años unam venció aumento alumnos rezagados number además elevó number egreso oportuno bachillerato usar pase reglamentado licenciatura avance cifras significaron unam lastre constante presión grupos activistas forma parte perfil ahora máxima casa estudios josé narro robles entregará sucesor próximo number noviembre acuerdo cifras históricas unam caso alumnos egresados ciclo escolar numbernumber caso alumnos nuevo ingreso reingreso ciclo escolar numbernumber reforma number puso fin llamado pase automático bachillerato licenciatura puso límites permanencia alumnos institución comenzó dar resultados partir number actualmente carga administrativa llamados fósiles redujera considerablemente nuevas reglas ingreso permanencia bachillerato licenciatura unam aprobadas number consejo universitario instancias entonces rector francisco barnés castro establecen bachilleres sólo pueden inscritos institución cuatro años decir año tres deben concluir estudios rebasados cuatro años sólo derecho presentar exámenes extraordinarios acreditar materias únicamente dos años más decir adolescentes entraron colegio ciencias humanidades cch escuela nacional preparatoria enp number causaron baja definitiva seis años después number bachillerato unamita existe nueve mil number alumnos generación phone terminaron tres años grado escolar caso licenciatura reglamento general inscripciones unam ordena alumnos podido concluir carrera tiempo reglamentario la inmensa mayoría carreras cuatro años derecho finalizar carrera dos años más decir carrera cuatro años máximo seis años si término tiempo pudieron concluir sólo pueden mantenerse unam number tiempo más pueden ser alumnos sino sólo presentar extraordinarios decir carrera cuatro años máximo permanecer unam ocho años ninguno tres mil number jóvenes generación phone concluyó carrera ahora unam pues últimos derecho exámenes extraordinarios number semestre más pase reglamentado acuerdo diagnóstico oficial llevó consejo universitario reformar reglas ingreso permanencia estudiantes aulas entonces pase automático bachillerato licenciatura factor fundamental jóvenes concluyeran estudios tiempo establecido cifras actuales comprueban límites establecidos tener derecho inscripción pase reglamentado funcionó ciclo escolar phone tercera generación aplicaron nuevas reglas number mil number jóvenes hicieron solicitud ingresar alguna carreras universidad nacional ellos number mil number concluyó inscripción continuar estudios ahora unam reportó ciclo escolar numbernumber number mil number jóvenes presentaron solicitud uso pase reglamentado decir tres mil number alumnos más implican aumento number ciento observa ciclo escolar reciente incluyen estadísticas unam number mil number jóvenes concluyeron trámites inscripción implica cuatro mil number alumnos number decidieron continuar estudios profesionales implica mejora uso pase reglamentado number egreso oportuno alumnos alumnos eternos logro trascendente universidad nacional registran estadísticas torno existencia alumnos rezagados años mundo interno institución conoció fósiles universidad acumulado alrededor medio millón personas inscrito aulas concluían estudios number derecho mantener vivos derechos alumnos institución dio paso existencia alumnos reprobaban number ocasiones aun así derecho alumno regular caso facultad ingeniería persona hizo uso pase automático number años después salir bachillerato estadísticas unam mostraban cuantiosa población alumnos irregulares implicaba number existencia number mil jóvenes derechos mantenían actividad administrativa presentación extraordinarios periodo number años cifra detuvo partir año primera generación aplicó pase reglamentado concluyó bachillerato partir ahí comenzó disminuir number año number unam registró total number mil number jóvenes bachillerato concluyeron estudios tres años reglamentarios año adicional aplicación reglas permitió actualmente sólo existan number mil number jóvenes condición seis mil number derecho siquiera exámenes extraordinarios rebasar periodo apoyo caso licenciatura number ciclo numbernumber unam acumulado number mil number jóvenes concluyeron carrera tiempo establecidos embargo number mil number perdieron derechos incluso terminar carrera exámenes extraordinarios rebasaron doble tiempo duración ordinaria licenciatura terminarla actualmente sólo number mil number jóvenes vivos derechos menos tres mil number perderán si concluyeron año decir acumulado number mil jóvenes number vivos derechos estudiantes pesar reprobar vez ahora sólo number mil number circunstancias año año cifra varía institución avanza mejores resultados eficiencia terminal https://www.excelsior.com.mx/nacional/2015/09/07/1044371 
11,Fake 1 83 universidad oxford da tiempo mujeres hacer exámenes universidad oxford da tiempo mujeres hacer exámenes polémica medida puesto marcha universidad da intentar mejorar resultados estudiantes universidad oxford puesto marcha medida buscar mejora notas estudiantes pesar medida comenzó implantarse hace meses concretamente junio number trascendido ahora gracias informaciones ofrecidas medio británico the telegraph medida generado cierta polémica debido carácter desigual sexos estudiantes universidad decidido dar number minutos tiempo mujeres realizar examen respecto estudiantes varones aumento duración exámenes viene motivado bajo rendimiento mujeres notas exámenes respecto hombres anteriores años notas altas hombres duplicaban mujeres cambio pretende ecualizar desajustes universidad indica aumento duración mujeres disponen number minutos respecto habituales number minutos hace motivos reales mujeres manejan peor estrés repasan respuestas obstante tras polémica generada tan curiosa medida realizada fin mitigar brecha género aparecido últimos años universidad piensa dar marcha atrás misma razón resultados medida sido satisfactorios pues conseguido mejorar nota media estudiantes muchas voces críticas respecto situación medida causado gran polémica pues expertos asegurado diferencias género referente habilidades matemáticas además ello pesar universidad indica hacen igualar géneros percepción causar gran desigualdad hace ver mujeres siguen siendo sexo débil redes lado mostrado incredulidad respecto critican medida sienten genera minusvaloración mujeres respecto hombre https://www.losreplicantes.com/articulos/universidad-oxford-tiempo-mujeres-examenes/ 
12,True 1 72 presentan unam cndh portal educativo internet presentan unam cndh portal educativo internet comisión nacional derechos humanos cndh universidad nacional autónoma méxico unam presentaron ayer portal educa cndh sitio educacndhorgmx ofrecerán actividades diplomados cursos talleres conferencias modalidad presencial línea mixta dirigido servidores públicos miembros organizaciones sociedad civil sindicatos trabajadores empresariales integrantes sistema educativo nacional público general portal ofrecen cursos derechos humanos relación situaciones género violencia diversidad sexual medioambiente desplazamiento forzado libertad expresión diseñados personal cndh unam oferta portal actualizará permanentemente sitio sección jóvenes docentes busca sensibilizarlos formarlos defensores derechos humanos libros electrónicos infografías videos presidente cndh luis raúl gonzález pérez planteó ayer ciudad universitaria país atraviesa coyuntura crítica pobreza violencia corrupción impunidad señaló respuestas problemas capacitación derechos humanos sólo personas conocen entienden derechos posible consolidar cultura asuma respeto defensa pauta actividad cotidiana http://www.jornada.com.mx/2018/04/20/politica/016n2pol 
13,Fake 1 63 nueva selectividad permitirá estudiantes realizar exámenes online nueva selectividad permitirá estudiantes realizar exámenes online ministerio educación dado conocer finen mañana hoy nuevas condiciones nueva selectividad conocida ahora ebau siglas evaluación bachillerato acceso universidad condiciones novedosas llamado atención prueba podrá hacer casa manera online asistir centro examinador creemos ésta mejor forma actualizarnos nuevos tiempos corren si hoy puede hacer internet ¿por ésta prueba explica portavoz ministerio educación confiamos alumnos miren libros consulten google prueba mal engañarían mismos creemos nadie hiciera así… fechas convocatoria ebau lugar primera quincena junio dependiendo comunidad autónoma deberá solicitar acceso hacer prueba online web ministerio educación finalice mayo https://haynoticia.es/la-nueva-selectividad-permitira-los-estudiantes-realizar-los-examenes-online3333/ 
14,Fake 1 41 pietro boselli maestro sexy mundo dará clases unam pietro boselli maestro sexy mundo dará clases unam méxico gran sorpresa causó presidente enrique peña nieto revelar acaba cerrar acuerdo famoso profesor matemáticas university college of london pietro boselli que hizo viral mundo ser considerado el maestro sexy planeta clases semestre universidad nacional autónoma méxico área ingeniería epn mencionó decidió revelar famoso profesor vendría méxico dar clases finalidad que regalo día maestro mencionando hecho dará clases facultad ingeniería unam número mujeres sacado ficha ingresar dicha carrera incrementó number decidimos contratar boselli elevar nivel académico unam hace décadas universidad top number mejores mundo ahora punto salir top number necesitamos gente mundo ponga ojos unam vuelva adquirir prestigio antes asesor recomendó traer boselli tajante dije hacerles pruebas comprobar buen profesor merecía entrar nómina gobierno supuesto entusiasma revuelo causara contratación finalmente intención aumentar prestigio sirve tan guapo si bueno dando clases final percatamos hecho mejor preparado profesores actuales así contratamos inmediato salió caro convencerlo modelo pagarle doble profesor modelo dijo epn señaló muchas mujeres pedían pusieran dar clases alguna licenciatura comunicación embargo pietro experto materias ingeniera cuando corrió rumor contrataríamos chicas decían mandáramos licenciatura estudian profesor experto ingeniería caso ponerlo dar clases área final mujeres decidieron cambiarán ingeniería clases si van tomar decisión solo quieren ver cerca maestro piénsenlo bien boselli solo semestre además solo dará clases number días semana demás usará cumplir labor modelo puntualizó nieto http://www.elruinaversal.com/2017/05/19/pietro-boselli-el-maestro-mas-sexy-del-mundo-dara-clases-en-la-unam/ 
15,Fake 7 91 angelica rivera mis hijas sangre indígena angelica rivera mis hijas sangre indígena viven país tan peligroso primera dama méxico angelica rivera asegura vida siempre manejado honestidad verticalidad transparencia angelica rivera realiza gira junto esposo hacer frente retos comunes región además aseguró hace esfuerzo mantener familia unidos doble propósito hijas aprendan idiomas beneficiosos resaltó tengo hijas país méxico lleno nacos delincuentes manera mantengo tranquilo preocupaciones además agregó mis hijas sangre indígena viven país tan peligroso mi familia importante haciendo esfuerzo darles educación hijas puedan aprender idioma misma oportunidad dieron niña expuso declaraciones gastos perfectamente cuadrados ingresos cuento remota idea de vengan señalamientos convencida información habla falsa http://modonoticia.com/2018/06/04/angelica-rivera-mis-hijas-no-son-de-sangre-indigena-por-eso-no-viven-en-este-pais-tan-peligroso/ 
16,Fake 7 41 ine permitirá ciudadanos poner filtros retoques foto credencial elector ine permitirá ciudadanos poner filtros retoques foto credencial elector méxico conferencia prensa director instituto nacional electoral ine lorenzo córdova anunció acaban aprobar opción permitir ciudadanos elegir foto aparezca documento identificación oficial credencial votar incluso aprobaran fotos retocadas photoshop filtros color luz filtros snapchat lorenzo mencionó idea propuesta encargados área comunicación social ife percataron a gente avergüenza enseñar credencial mal sale ella traduce solo porcentaje bajo población renueva cédula jóvenes quieren tramitarla la mayoría mexicanos renueva credencial cambian domicilio ciudad genera desequilibrio estadístico momento controlar geográficamente población además cumplen mayoría edad tampoco quieren tramitarla salen extremadamente mal foto solo sienten seguros imágenes ponen infinidad filtros ocultar amarga realidad tener cara dios dio pensando bienestar personas decidimos tardar mediados año entrará vigor opción permitir ciudadano elegir foto aparezca credencial inclusive podrá ser foto perfil facebook filtros photoshop snapchat computadoras ine acceso internet ciudadano podrá proporcionar cuenta usuario popular red social elegir foto desea plasmar cédula oficial mencionó córdova reveló si persona cuenta cuenta facebook podrá llevar foto deseada memoria usb además todas oficinas ine contarán diseñadores gráficos podrán retocar –de manera gratuita imagen fin darle manita gato ciudadano fotografía credencial votar último córdova reveló decisión costará usdnumber millones pesos comprar permisos programa photoshop además llegaron acuerdo millonario snapchat poder usar filtros dicen redes sociales hoy así adaptarnos concluyó lorenzo http://www.elruinaversal.com/2018/01/18/ine-permitira-a-ciudadanos-poner-filtros-y-retoques-en-su-foto-de-la-credencial-de-elector/ 
17,Fake 7 63 colas number metros eroskis madrid comprar crema cifuentes oferta number×number colas number metros eroskis madrid comprar crema cifuentes oferta number×number supermercados eroski madrid viendo colapsados últimas horas gracias oferta última hora compañía hecho pública trata tarros crema antiedad ex presidenta comunidad madrid cristina cifuentes sustraído famoso vídeo costó puesto oferta number×number viralizado través medios llamada resultado efectiva sabe si señal protesta morbo interés real oferta supermercados declaraciones allí presentes cola dejan entrever todo si cifuentes arriesgó carrera botes ser buenos decía chicas afirmaba serán productos coleccionista años libros historia política hablarán ellos decía visión comercial futuro https://haynoticia.es/colas-de-50-metros-en-eroskis-de-madrid-para-comprar-la-crema-de-cifuentes/ 
18,Fake 7 31 consentimiento sexual deberá ser escrito consentimiento sexual deberá ser escrito intento eliminar violencia sexual dentro parejas cámara diputados nueva ley dispone cualquier forma relación sexual incluyendo besos lengua fajes amistosos requerirán acuerdo escrito firmado ambas partes especifique consentimiento mutuo libre parte involucrados forma existan dudas respecto documento deberá incluir nombre edad teléfono dirección cada participantes así número credencial ine acreditar mayoría edad necesitarán siete copias firmadas interesados dos testigos acrediten coerción medio usuario plazo hora tras acto entregar documento físico pues forma quedará invalidado caso tríos orgías similares generar copia cada implicados ley aplicará parejas casuales matrimonios u relaciones establecidas recomienda tener archivo llevar seguimiento vida sexual modo mano caso duda diputados coinciden que forma evitarán malos entendidos sociedad avanzará situación entendimiento felicidad https://www.eldizque.com/el-consentimiento-sexual-debera-de-ser-por-escrito/ 
19,Fake 7 31 descubre sigmund freud inventó psicoanálisis método ligar descubre sigmund freud inventó psicoanálisis método ligar hallazgo serie cartas llamado padre psicoanálisis sigmund freud sacado luz detalle podría cambiar siempre sólo visión trabajo sino futuro disciplina acuerdo mismo sabio especificó escritos creía psicoanálisis sino sólo usaba estrategia ligar profesor solsticio schoppenhaggen reconocido historiador biógrafo freud comunicó mundo descubrimientos de acuerdo correspondencia encontramos sigmund carteaba amigos diciéndole terriblemente difícil conseguir sexo pues aseguraba todas mujeres conocía mojigatas reprimidas tras dos meses quejarse continuamente cada epístola ánimo cambió notablemente correspondencia citaba convenciendo damas pensaban hacían realidad motivado sexo fácil llevárselas cama mismo freud acepta escritos mismo creía vio obligado escribir libros comenzaran rumorar truco en muchas cartas dirigidas amigo sólo conocemos erich f aconsejaba comenzara usar técnica también útil sentido amigo parecía acuerdo pues sostenía amar debería ser arte aspiración ligue dominar arte amar historiador prometió cuanto nuevos descubrimientos haría saber inmediato https://www.eldizque.com/se-descubre-que-sigmund-freud-invento-el-psicoanalisis-como-un-metodo-para-ligar/ 
20,True 7 40 psoe reactiva debate eutanasia psoe reactiva debate eutanasia partido gobierno llevará propuesta regularla pleno próxima semana cree saldrá adelante pedro sánchez vicesecretaria general psoe portavoz congreso adriana lastra reunión comisión permanente ejecutiva partido psoe decidido impulsar despenalización eutanasia promovió oposición reactivarla ahora pedro sánchez alcanzado presidencia gobierno grupo parlamentario socialista llevará debate pleno congreso próxima semana propuesta ley registró pasado mayo parlamento regula eutanasia derecho prestación sanitaria portavoz parlamentaria adriana lastra mantenido contactos resto grupos convicción saldrá adelante proposición ley partido gobierno llega después congreso diera pasado mayo primer paso regular práctica cámara baja aprobó mayo toma consideración proposición ley parlament cataluña despenalizar eutanasia votos pp abstención ciudadanos norma solo contemplaba práctica deje ser delito socialistas regula proceso convierte prestación sanitaria proposición parlamento catalán aprobada votos psoe unidos podemos erc pnv pdecat es misma mayoría aupó pedro sánchez moncloa moción censura aunque ley psoe amplia catalana grupos discutirán probablemente detalles mayoría parlamentaria favorable práctica despenalice situación aprovecha psoe reactivar propuesta visos salir adelante proposición ley registró psoe congreso regula eutanasia nuevo derecho individual efectivo forma convertiría —si propuesta prospera— prestación cartera servicios comunes sistema nacional salud sns mayores edad enfermedad grave incurable —que produzca sufrimientos físicos psíquicos insoportables— discapacitados graves crónicos derecho sistema público ayudara morir según proposición ley procedimiento lograr suministro sustancia acabe vida paciente requeriría concurrencia dos médicos valoraran caso atienda habitualmente paciente normalmente cuidados paliativos segundo externo avalará cumplen condiciones sufrimiento insoportable paciente —será enfermo decida— si médicos dan razón afectado comisión autonómica deberá revisar caso profesionales sanitarios relación directa paciente podrán alegar objeción conciencia declaración deberá hacerse escrito previamente involucrados caso concreto evitar voluntad pueda verse influida cercanía enfermo supuestos podrán beneficiarse ley personas padezcan una enfermedad grave incurable discapacidad grave crónica si espera situación mejore causa gran sufrimiento físico psíquico es tanto planteamiento abierto leyes holandesa belga podría haberse aplicado casos ramón sampedro tetrapléjico suicidó number soportaba situación dependencia absoluta aunque terminal suicidio asistido proposición incorpora regulación suicidio médicamente asistido decir profesional facilitará paciente sustancia quitarse vida ingerirá medios ahora cooperación necesaria suicidio castigada código penal plazos solicitudes deberán hacerse dos veces number días diferencia ello da plazo afectado medite decisión https://politica.elpais.com/politica/2018/06/19/actualidad/1529407111_939863.html 
